pert,target_var,pct_change,status,knockdown_ok
CCT5,CCT5,-95.12763977050781,ok,True
CCT6A,CCT6A,-83.57840728759766,ok,True
CCT7,CCT7,-93.89154052734375,ok,True
CCT8,CCT8,-90.17350006103516,ok,True
CD2BP2,CD2BP2,-78.02347564697266,ok,True
CD3EAP,CD3EAP,-97.31524658203125,ok,True
CD8B,,,target_not_measured,False
CDAN1,,,target_not_measured,False
CDC5L,CDC5L,-81.35071563720703,ok,True
CDC6,CDC6,-77.2544937133789,ok,True
CDC7,CDC7,-91.34366607666016,ok,True
CDC16,CDC16,-89.741455078125,ok,True
CDC20,CDC20,-58.74015808105469,ok,True
CDC23,CDC23,-79.28764343261719,ok,True
CDC26,CDC26,-83.80158996582031,ok,True
CDC27,CDC27,-52.753578186035156,ok,True
CDC37,CDC37,-0.6008968949317932,ok,False
CDC40,CDC40,-65.97806549072266,ok,True
CDC42,CDC42,-83.74199676513672,ok,True
CDC45,CDC45,-83.20780181884766,ok,True
CDC73,CDC73,-78.9874496459961,ok,True
CDC123,CDC123,-93.44770050048828,ok,True
CDCA5,CDCA5,-51.39356994628906,ok,True
CDCA8,CDCA8,-56.65778732299805,ok,True
CDIPT,CDIPT,-91.76237487792969,ok,True
CDK1,CDK1,-69.1547622680664,ok,True
CDK2,CDK2,-95.42650604248047,ok,True
CDK9,CDK9,-84.68461608886719,ok,True
CDK11A,CDK11A,-58.94412612915039,ok,True
CEBPZ,CEBPZ,-87.00717163085938,ok,True
CENPA,CENPA,-41.5261344909668,ok,True
CENPC,CENPC,-88.09154510498047,ok,True
CENPE,CENPE,-95.33744812011719,ok,True
CENPH,CENPH,-90.07979583740234,ok,True
CENPI,,,target_not_measured,False
CENPJ,CENPJ,-82.00666046142578,ok,True
CENPK,CENPK,-95.54953002929688,ok,True
CENPN,CENPN,-82.33116912841797,ok,True
CENPT,CENPT,-84.69127655029297,ok,True
CENPW,CENPW,-90.14551544189453,ok,True
CEP68,CEP68,-76.930908203125,ok,True
CEP85,CEP85,-89.12460327148438,ok,True
CEP97,CEP97,-96.41496276855469,ok,True
CEP152,CEP152,-93.4310302734375,ok,True
CEP192,CEP192,-75.16044616699219,ok,True
CFDP1,CFDP1,-59.575477600097656,ok,True
CHAF1A,CHAF1A,-88.4720687866211,ok,True
CHAF1B,CHAF1B,-95.1822738647461,ok,True
CHCHD1,CHCHD1,-89.75704956054688,ok,True
CHCHD2,CHCHD2,-92.79339599609375,ok,True
CHCHD4,CHCHD4,-92.13350677490234,ok,True
CHD4,CHD4,-81.32621765136719,ok,True
CHEK1,CHEK1,-65.35453033447266,ok,True
CHERP,CHERP,-63.7590217590332,ok,True
CHMP1A,CHMP1A,-69.55215454101562,ok,True
CHMP2A,CHMP2A,-62.09584045410156,ok,True
CHMP3,CHMP3,-90.18656158447266,ok,True
CHMP4B,CHMP4B,-90.83087921142578,ok,True
CHMP5,CHMP5,-81.18929290771484,ok,True
CHMP6,CHMP6,-96.70755004882812,ok,True
CHMP7,CHMP7,-77.73737335205078,ok,True
CHORDC1,CHORDC1,-92.33407592773438,ok,True
CHTF8,,,target_not_measured,False
CHTF18,CHTF18,-92.10033416748047,ok,True
CHTOP,CHTOP,-79.33324432373047,ok,True
CIAO1,CIAO1,-84.15125274658203,ok,True
CIAPIN1,CIAPIN1,-92.8320541381836,ok,True
CINP,CINP,-85.7375259399414,ok,True
CKAP5,CKAP5,-56.69400405883789,ok,True
CLASRP,CLASRP,-69.65248107910156,ok,True
CLCC1,CLCC1,-93.57274627685547,ok,True
CLK2,CLK2,-76.70448303222656,ok,True
CLNS1A,CLNS1A,-92.03836822509766,ok,True
CLP1,CLP1,-74.23602294921875,ok,True
CLSPN,CLSPN,-73.32776641845703,ok,True
CLTC,CLTC,-82.08958435058594,ok,True
CMPK1,CMPK1,-87.99873352050781,ok,True
CMTR1,CMTR1,-81.35308074951172,ok,True
CNIH4,CNIH4,-97.2188720703125,ok,True
CNN2,CNN2,-89.48233795166016,ok,True
CNOT1,CNOT1,-78.88536834716797,ok,True
CNOT2,CNOT2,-72.6464614868164,ok,True
CNOT3,CNOT3,-82.12075805664062,ok,True
COA5,COA5,-90.7151870727539,ok,True
COASY,COASY,-95.682373046875,ok,True
COG1,COG1,-44.52345657348633,ok,True
COG2,COG2,-90.64984130859375,ok,True
COG3,COG3,-89.8039321899414,ok,True
COG4,COG4,-93.89258575439453,ok,True
COG6,COG6,-95.80126953125,ok,True
COG8,COG8,-36.26082229614258,ok,True
COPA,COPA,-35.08230972290039,ok,True
COPB1,COPB1,-57.61928176879883,ok,True
COPB2,COPB2,-52.255001068115234,ok,True
COPE,COPE,-90.25955963134766,ok,True
COPG1,COPG1,-30.597572326660156,ok,True
COPS2,COPS2,-94.2142562866211,ok,True
COPS3,COPS3,-83.37544250488281,ok,True
COPS4,COPS4,-95.3935317993164,ok,True
COPS5,COPS5,-83.02659606933594,ok,True
COPS6,COPS6,-95.90067291259766,ok,True
COPS8,COPS8,-86.82861328125,ok,True
COPZ1,COPZ1,-37.06757736206055,ok,True
COQ2,COQ2,-100.0,ok,True
COQ4,COQ4,-90.7120132446289,ok,True
COQ5,COQ5,-94.20449829101562,ok,True
COX5A,COX5A,-95.66964721679688,ok,True
COX5B,COX5B,-89.60381317138672,ok,True
COX6C,COX6C,-94.43963623046875,ok,True
COX7B,COX7B,-91.86384582519531,ok,True
COX7C,COX7C,-94.059814453125,ok,True
COX10,COX10,-86.18423461914062,ok,True
COX11,COX11,-89.4561767578125,ok,True
COX15,COX15,-100.0,ok,True
COX17,COX17,-91.56273651123047,ok,True
CPAMD8,,,target_not_measured,False
CPNE7,CPNE7,-88.19451904296875,ok,True
CPOX,CPOX,-92.5168685913086,ok,True
CPSF1,CPSF1,-87.37164306640625,ok,True
CPSF3,CPSF3,-88.01301574707031,ok,True
CPSF4,CPSF4,-90.50366973876953,ok,True
CPSF6,CPSF6,-85.41822052001953,ok,True
CRCP,CRCP,-70.87940979003906,ok,True
CRKL,CRKL,-88.5428466796875,ok,True
CRLS1,CRLS1,-83.95428466796875,ok,True
CRNKL1,CRNKL1,-52.13425064086914,ok,True
CS,CS,-87.6369400024414,ok,True
CSE1L,CSE1L,-91.5046157836914,ok,True
CSH2,,,target_not_measured,False
CSNK1A1,CSNK1A1,-86.76622009277344,ok,True
CSNK2B,CSNK2B,-87.2676773071289,ok,True
CSTF1,CSTF1,-81.53360748291016,ok,True
CSTF3,CSTF3,-88.40040588378906,ok,True
CTBP2,,,target_not_measured,False
CTCF,CTCF,-48.51772689819336,ok,True
CTDP1,,,target_not_measured,False
CTNNBL1,CTNNBL1,-90.4872055053711,ok,True
CTR9,CTR9,-88.12980651855469,ok,True
CTU2,CTU2,-91.19660949707031,ok,True
CUL1,CUL1,-75.78626251220703,ok,True
CUL2,CUL2,-84.1633071899414,ok,True
CUL3,CUL3,-76.91217041015625,ok,True
CUL7,,,target_not_measured,False
CWC15,CWC15,-80.49469757080078,ok,True
CWC22,CWC22,-61.642234802246094,ok,True
CWC25,CWC25,-72.8193359375,ok,True
CWF19L2,CWF19L2,-88.85447692871094,ok,True
CXXC1,CXXC1,-79.94483947753906,ok,True
CYC1,CYC1,-74.19818878173828,ok,True
CYCS,CYCS,-96.01649475097656,ok,True
